,image_id,image_name,true_labels,true_boxes,predicted_labels,predicted_boxes
0,0,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[1, 1, 6, 5, 5, 5, 5, 5, 5, 5]","[[322.0, 29.0, 371.0, 209.0], [230.0, 63.0, 276.0, 125.0], [325.0, 382.0, 370.0, 481.0], [37.0, 22.0, 86.0, 63.0], [86.0, 21.0, 133.0, 73.0], [133.0, 22.0, 181.0, 63.0], [181.0, 32.0, 276.0, 63.0], [35.0, 404.0, 83.0, 428.0], [131.0, 285.0, 179.0, 307.0], [182.0, 21.0, 367.0, 33.0]]","[5, 5, 5, 5, 5, 6, 5, 1, 5, 1, 5, 3, 1, 6, 5, 6]","[[132.9534149169922, 21.67189598083496, 180.75015258789062, 65.11223602294922], [85.81658935546875, 21.016254425048828, 133.4199981689453, 70.35397338867188], [36.29909133911133, 21.056827545166016, 85.5781478881836, 62.299381256103516], [180.00599670410156, 31.089262008666992, 276.40374755859375, 64.28067779541016], [130.6656036376953, 286.2685852050781, 179.38429260253906, 307.873291015625], [322.48236083984375, 379.9592590332031, 370.2557373046875, 481.7751159667969], [33.61712646484375, 404.3466796875, 83.53607940673828, 428.5816345214844], [228.45401000976562, 60.878875732421875, 275.1230773925781, 123.06136322021484], [165.61289978027344, 19.956300735473633, 362.0749816894531, 31.359359741210938], [323.4561462402344, 32.505245208740234, 368.1851501464844, 204.54710388183594], [276.309326171875, 260.5914306640625, 372.88153076171875, 279.4785461425781], [131.65829467773438, 418.775146484375, 176.80224609375, 482.01422119140625], [133.0948944091797, 419.97479248046875, 178.15078735351562, 482.0076904296875], [324.45550537109375, 37.01315689086914, 368.3338317871094, 209.67950439453125], [267.97271728515625, 33.36552429199219, 323.21844482421875, 49.01947784423828], [132.92095947265625, 419.66131591796875, 177.6131591796875, 480.1681213378906]]"
1,1,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[0, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]","[[63.0, 23.0, 165.0, 217.0], [11.0, 24.0, 61.0, 54.0], [13.0, 180.0, 62.0, 212.0], [12.0, 333.0, 64.0, 364.0], [13.0, 430.0, 65.0, 451.0], [63.0, 217.0, 166.0, 247.0], [164.0, 23.0, 214.0, 54.0], [215.0, 24.0, 265.0, 46.0], [166.0, 215.0, 215.0, 228.0], [116.0, 437.0, 217.0, 495.0], [215.0, 76.0, 369.0, 230.0], [218.0, 231.0, 369.0, 493.0]]","[5, 5, 5, 5, 6, 5, 6, 6, 1, 2, 4, 3, 1, 5]","[[163.30886840820312, 23.115962982177734, 215.03787231445312, 55.019309997558594], [10.767533302307129, 22.653671264648438, 62.62002182006836, 55.28776168823242], [13.73160457611084, 331.57061767578125, 65.20453643798828, 365.3118896484375], [12.848893165588379, 178.96588134765625, 63.712646484375, 212.91038513183594], [216.093994140625, 231.3992156982422, 371.324462890625, 489.40679931640625], [63.495445251464844, 217.37106323242188, 163.91616821289062, 246.7831268310547], [216.83975219726562, 75.03016662597656, 363.2519226074219, 233.06890869140625], [116.56344604492188, 434.150146484375, 216.27561950683594, 493.9693298339844], [211.9561004638672, 79.59528350830078, 366.5268249511719, 223.3611602783203], [220.37115478515625, 72.95976257324219, 361.52099609375, 228.37330627441406], [215.19903564453125, 73.55511474609375, 360.738037109375, 227.86517333984375], [216.37496948242188, 74.16187286376953, 370.4972839355469, 226.71340942382812], [60.80788040161133, 14.377079010009766, 169.63543701171875, 213.2176513671875], [63.50130081176758, 24.028491973876953, 159.31605529785156, 33.7514762878418]]"
2,2,"[15, 15, 15]","[0, 1, 5]","[[112.0, 323.0, 211.0, 422.0], [260.0, 225.0, 311.0, 353.0], [256.0, 22.0, 357.0, 48.0]]","[5, 1, 1, 1, 6]","[[256.1419982910156, 21.7160701751709, 358.0168151855469, 47.6479377746582], [258.0587463378906, 219.23422241210938, 311.3612060546875, 357.31182861328125], [5.742671012878418, 449.0882873535156, 358.978759765625, 476.4256286621094], [0.0, 21.33293342590332, 262.010009765625, 240.8881378173828], [13.993659973144531, 451.56719970703125, 371.5705871582031, 474.4573669433594]]"
3,3,"[30, 30, 30, 30, 30, 30, 30, 30]","[0, 5, 5, 5, 5, 5, 6, 6]","[[57.0, 25.0, 109.0, 134.0], [8.0, 27.0, 56.0, 80.0], [10.0, 393.0, 57.0, 415.0], [59.0, 447.0, 109.0, 459.0], [8.0, 185.0, 58.0, 197.0], [7.0, 256.0, 58.0, 269.0], [108.0, 27.0, 361.0, 257.0], [107.0, 261.0, 362.0, 485.0]]","[5, 6, 6, 2, 3, 1, 4]","[[7.094815731048584, 25.143342971801758, 58.35379409790039, 76.40399932861328], [107.03256225585938, 24.651504516601562, 355.7007141113281, 261.19952392578125], [106.84119415283203, 262.6415710449219, 355.29193115234375, 487.9669189453125], [111.63390350341797, 269.3372497558594, 360.283447265625, 474.6632385253906], [95.3860855102539, 267.1828918457031, 371.23040771484375, 482.30670166015625], [106.11978912353516, 272.43310546875, 355.5439758300781, 482.21966552734375], [108.2179183959961, 259.4685363769531, 362.7408752441406, 483.2948303222656]]"
4,4,"[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[4, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]","[[5.0, 17.0, 155.0, 181.0], [204.0, 18.0, 352.0, 228.0], [152.0, 17.0, 204.0, 61.0], [2.0, 181.0, 52.0, 225.0], [50.0, 200.0, 104.0, 228.0], [52.0, 269.0, 101.0, 310.0], [104.0, 180.0, 155.0, 222.0], [154.0, 197.0, 204.0, 226.0], [202.0, 228.0, 254.0, 272.0], [253.0, 293.0, 305.0, 313.0], [104.0, 324.0, 153.0, 352.0], [153.0, 336.0, 204.0, 364.0], [306.0, 363.0, 355.0, 449.0], [305.0, 451.0, 354.0, 476.0], [2.0, 447.0, 52.0, 476.0]]","[5, 5, 5, 5, 5, 6, 6, 5, 2, 4, 5, 3, 1, 5]","[[103.35974884033203, 181.10302734375, 154.51637268066406, 221.9495391845703], [203.1906280517578, 229.61434936523438, 254.94024658203125, 270.6136474609375], [50.88558578491211, 269.1681823730469, 102.83634948730469, 309.8305358886719], [3.112596035003662, 180.117431640625, 53.4724235534668, 223.38165283203125], [153.76808166503906, 18.79571533203125, 203.810302734375, 60.53271484375], [305.2460632324219, 362.5352783203125, 355.7306213378906, 450.6939697265625], [202.72531127929688, 18.79817771911621, 354.6569519042969, 232.73744201660156], [153.33123779296875, 198.0648193359375, 203.5059051513672, 224.56578063964844], [10.321102142333984, 0.0, 152.5634307861328, 176.42298889160156], [11.445602416992188, 13.372575759887695, 154.2150421142578, 184.3468780517578], [51.7158203125, 199.50839233398438, 103.16731262207031, 223.84283447265625], [6.249168395996094, 13.222736358642578, 156.56703186035156, 179.1612091064453], [13.631244659423828, 10.498941421508789, 154.12271118164062, 180.81771850585938], [14.35340404510498, 17.87798309326172, 153.6929168701172, 31.403772354125977]]"
5,5,"[40, 40, 40, 40, 40, 40]","[3, 3, 5, 5, 5, 5]","[[279.0, 265.0, 326.0, 478.0], [146.0, 18.0, 321.0, 170.0], [11.0, 16.0, 57.0, 176.0], [102.0, 40.0, 145.0, 60.0], [193.0, 176.0, 276.0, 190.0], [147.0, 176.0, 190.0, 194.0]]","[3, 3, 5, 3, 3, 5, 3, 3, 1]","[[143.51512145996094, 16.192487716674805, 322.91949462890625, 168.38812255859375], [277.93988037109375, 366.0608825683594, 323.00347900390625, 460.4018249511719], [191.60826110839844, 174.63795471191406, 278.26092529296875, 192.37457275390625], [278.40283203125, 274.2453308105469, 322.66009521484375, 381.015869140625], [277.2608642578125, 247.71279907226562, 322.6033020019531, 489.4025573730469], [144.32826232910156, 19.871477127075195, 270.74005126953125, 29.852161407470703], [277.41845703125, 264.5146179199219, 321.47607421875, 323.6517333984375], [276.0268249511719, 378.6434020996094, 321.86627197265625, 427.9273376464844], [277.166015625, 263.183349609375, 321.5843200683594, 316.322509765625]]"
6,6,"[43, 43, 43, 43, 43, 43]","[4, 5, 5, 5, 5, 6]","[[123.0, 24.0, 232.0, 157.0], [12.0, 25.0, 68.0, 67.0], [233.0, 25.0, 289.0, 67.0], [124.0, 159.0, 177.0, 232.0], [177.0, 159.0, 232.0, 201.0], [291.0, 25.0, 345.0, 254.0]]","[5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 2, 4, 1, 5]","[[233.5131072998047, 25.05733871459961, 290.6591491699219, 64.83293914794922], [123.22550964355469, 157.34288024902344, 177.8856964111328, 231.6888885498047], [12.653756141662598, 25.221332550048828, 69.3351821899414, 65.5546875], [289.0791015625, 22.331588745117188, 346.1830139160156, 253.44520568847656], [177.3024139404297, 158.6853485107422, 233.09336853027344, 200.30528259277344], [65.11930847167969, 410.38873291015625, 120.34767150878906, 422.1629638671875], [67.22273254394531, 268.1340637207031, 123.86543273925781, 278.86669921875], [285.2271423339844, 441.79638671875, 340.267822265625, 449.9978332519531], [287.1208801269531, 323.5513000488281, 342.2178649902344, 331.8360900878906], [231.43849182128906, 404.3766784667969, 286.5668640136719, 410.8863525390625], [120.80619049072266, 16.622325897216797, 230.78199768066406, 159.01797485351562], [121.81364440917969, 22.305143356323242, 237.2350616455078, 156.1524200439453], [120.24464416503906, 18.39447021484375, 232.517578125, 158.33982849121094], [68.4254150390625, 217.80770874023438, 123.19316864013672, 226.18690490722656]]"
7,7,[45],[3],"[[51.0, 38.0, 370.0, 473.0]]","[2, 2, 2, 2, 3, 1, 2, 4]","[[42.92300033569336, 264.70849609375, 233.8304901123047, 471.9337463378906], [18.850967407226562, 0.0, 375.0, 491.7553405761719], [212.96827697753906, 270.3702392578125, 364.7986755371094, 465.9650573730469], [23.389617919921875, 16.67204475402832, 330.944091796875, 298.767822265625], [32.10725021362305, 34.609867095947266, 375.0, 481.2701110839844], [41.79113006591797, 27.516263961791992, 320.0605773925781, 295.1148376464844], [40.14167785644531, 48.07435607910156, 233.71958923339844, 268.9477233886719], [28.77084732055664, 8.032449722290039, 363.9278259277344, 500.0]]"
8,8,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[101.0, 112.0, 188.0, 245.0], [14.0, 65.0, 276.0, 112.0], [13.0, 112.0, 101.0, 188.0], [190.0, 113.0, 233.0, 185.0], [231.0, 112.0, 278.0, 187.0], [12.0, 369.0, 55.0, 419.0], [55.0, 369.0, 100.0, 418.0], [100.0, 245.0, 144.0, 262.0], [145.0, 245.0, 189.0, 262.0], [190.0, 263.0, 232.0, 310.0], [232.0, 262.0, 277.0, 311.0], [143.0, 316.0, 188.0, 329.0], [100.0, 353.0, 144.0, 364.0], [144.0, 358.0, 189.0, 372.0], [232.0, 355.0, 278.0, 372.0], [188.0, 450.0, 231.0, 463.0], [54.0, 448.0, 99.0, 460.0], [100.0, 392.0, 189.0, 407.0], [234.0, 397.0, 277.0, 409.0], [233.0, 447.0, 278.0, 460.0]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[[188.65293884277344, 112.65946197509766, 232.92063903808594, 182.0823211669922], [11.997336387634277, 110.85433197021484, 101.16585540771484, 188.4209442138672], [232.828857421875, 112.51290130615234, 277.8406982421875, 179.97012329101562], [98.66841888427734, 391.3298034667969, 188.6265106201172, 408.0957946777344], [55.812015533447266, 368.5675964355469, 100.59851837158203, 413.5938415527344], [188.9473114013672, 262.7253723144531, 232.398193359375, 308.19140625], [11.947778701782227, 368.6606140136719, 56.0009765625, 413.7336120605469], [232.72848510742188, 263.4284362792969, 277.81396484375, 307.94000244140625], [12.48225212097168, 66.94159698486328, 281.1795959472656, 110.9082260131836], [8.330482482910156, 21.226131439208984, 367.70721435546875, 55.860557556152344]]"
9,9,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5]","[[65.0, 21.0, 214.0, 145.0], [266.0, 24.0, 361.0, 485.0], [163.0, 171.0, 264.0, 334.0], [162.0, 334.0, 264.0, 487.0], [61.0, 300.0, 162.0, 373.0], [61.0, 373.0, 162.0, 490.0], [6.0, 413.0, 61.0, 430.0], [7.0, 431.0, 61.0, 456.0], [6.0, 458.0, 61.0, 492.0], [216.0, 126.0, 264.0, 169.0], [216.0, 59.0, 267.0, 83.0], [215.0, 83.0, 266.0, 103.0], [213.0, 102.0, 266.0, 124.0], [10.0, 14.0, 63.0, 45.0], [10.0, 148.0, 62.0, 163.0], [62.0, 145.0, 112.0, 174.0], [112.0, 145.0, 163.0, 167.0], [163.0, 144.0, 214.0, 162.0], [6.0, 313.0, 62.0, 328.0], [60.0, 251.0, 113.0, 267.0], [115.0, 239.0, 162.0, 256.0]]","[5, 5, 6, 6, 6, 6, 6, 6]","[[62.110557556152344, 143.41383361816406, 112.7698974609375, 175.23733520507812], [11.695507049560547, 13.863324165344238, 63.55999755859375, 44.45146560668945], [61.9655876159668, 298.25164794921875, 162.13522338867188, 369.0898132324219], [61.36170196533203, 369.5162048339844, 161.774658203125, 487.15863037109375], [162.8551788330078, 171.78549194335938, 264.7771911621094, 334.284912109375], [263.18408203125, 0.0, 366.2609558105469, 500.0], [161.5636444091797, 331.0124206542969, 260.6379699707031, 490.15252685546875], [215.5335235595703, 124.1630630493164, 265.08416748046875, 171.49679565429688]]"
